amfi_code,Sortino Ratio
100016,-0.35104746015230914
100025,-0.9418212366054205
100033,1.8291339615146933
101206,1.7995628746984516
101207,0.2766437962609234
101208,-1.6810378667512842
102885,1.4357420130649485
102886,-0.3472223025472727
102887,1.0887552508030014
118632,1.8501325468557266
118633,1.154475716923624
118634,0.7460146308533571
118635,1.137976718780742
118636,-0.6135251287271029
119092,0.05257398559304798
119093,0.22108683979276353
119094,1.703797480246301
119095,-0.12818559275851926
119120,-0.376767008170667
119551,2.140267129061793
119552,1.6097764896283082
119598,1.6753165700125516
119599,-0.09438726129459607
120503,1.3379431500669232
120504,1.8052937940992553
120505,2.0293529404657473
120506,1.0958951614736472
120507,1.0521238822609291
120841,0.8625738849916584
120842,0.12469346986475667
120843,2.3643200321667175
120844,-0.1877230477424232
125497,1.3306512447571364
125498,0.5088128197169233
148567,2.3856443733688164
148568,1.6327409778735174
148569,2.1469139263460555
149322,0.7621288703723165
149323,1.875101063919208
149324,1.6197931764914104
